time bp_transducer_voltage trigger
2015-04-14-13-42-234000: 2.53512261443 -1.0
2015-04-14-13-42-250000: 2.53497154942 -1.0
2015-04-14-13-42-265000: 2.50707487789 -1.0
2015-04-14-13-42-281000: 2.49609748729 -1.0
2015-04-14-13-42-296000: 2.4800845964 -1.0
2015-04-14-13-42-312000: 2.46140289038 -1.0
2015-04-14-13-42-328000: 2.44156301929 -1.0
2015-04-14-13-42-343000: 2.4236366383 -1.0
2015-04-14-13-42-359000: 2.40938617252 -1.0
2015-04-14-13-42-375000: 2.38773352133 -1.0
2015-04-14-13-42-390000: 2.40565990231 -1.0
2015-04-14-13-42-406000: 2.37081424039 -1.0
2015-04-14-13-42-421000: 2.3508233043 -1.0
2015-04-14-13-42-437000: 2.34296792386 -1.0
2015-04-14-13-42-453000: 2.34201117881 -1.0
2015-04-14-13-42-468000: 2.33168840324 -1.0
2015-04-14-13-42-484000: 2.31930107256 -1.0
2015-04-14-13-42-500000: 2.33390402336 -1.0
2015-04-14-13-42-515000: 2.68266277255 -1.0
2015-04-14-13-42-531000: 2.77365426255 -1.0
2015-04-14-13-42-546000: 2.79545797875 -1.0
2015-04-14-13-42-562000: 2.81514678483 -1.0
2015-04-14-13-42-578000: 2.80084596405 2.80384596405
2015-04-14-13-42-593000: 2.77118686742 -1.0
2015-04-14-13-42-609000: 2.76086409185 -1.0
2015-04-14-13-42-625000: 2.72032831462 -1.0
2015-04-14-13-42-640000: 2.67133289692 -1.0
2015-04-14-13-42-656000: 2.56196183091 -1.0
2015-04-14-13-42-671000: 2.55868875573 -1.0
2015-04-14-13-42-687000: 2.52812326905 -1.0
2015-04-14-13-42-703000: 2.51296641321 -1.0
2015-04-14-13-42-718000: 2.49428470719 -1.0
2015-04-14-13-42-734000: 2.47348809104 -1.0
2015-04-14-13-42-750000: 2.45948940027 -1.0
2015-04-14-13-42-765000: 2.43577219397 -1.0
2015-04-14-13-42-796000: 2.41568054786 -1.0
2015-04-14-13-42-796000: 2.40440102724 -1.0
2015-04-14-13-42-812000: 2.39010020646 -1.0
2015-04-14-13-42-843000: 2.37831713581 -1.0
2015-04-14-13-42-843000: 2.36829649026 -1.0
2015-04-14-13-42-875000: 2.35545596455 -1.0
2015-04-14-13-42-890000: 2.34684525908 -1.0
2015-04-14-13-42-906000: 2.3399969787 -1.0
2015-04-14-13-42-921000: 2.32866710308 -1.0
2015-04-14-13-42-937000: 2.31698474243 -1.0
2015-04-14-13-42-953000: 2.62258925424 -1.0
2015-04-14-13-42-968000: 2.78140893298 -1.0
2015-04-14-13-42-984000: 2.7691726673 -1.0
2015-04-14-13-42-000000: 2.83433204089 -1.0
2015-04-14-13-42-015000: 2.82139080518 2.82439080518
2015-04-14-13-42-031000: 2.79852963392 -1.0
2015-04-14-13-42-046000: 2.76559746211 -1.0
2015-04-14-13-42-062000: 2.745505816 -1.0
2015-04-14-13-42-078000: 2.69887708344 -1.0
2015-04-14-13-42-093000: 2.61407925877 -1.0
2015-04-14-13-42-109000: 2.57616194169 -1.0
2015-04-14-13-42-125000: 2.55828591571 -1.0
2015-04-14-13-42-140000: 2.52122463367 -1.0
2015-04-14-13-42-156000: 2.51180824815 -1.0
2015-04-14-13-42-171000: 2.48793997684 -1.0
2015-04-14-13-42-187000: 2.41411954278 -1.0
2015-04-14-13-42-203000: 2.39795558689 -1.0
2015-04-14-13-42-218000: 2.37529583564 -1.0
2015-04-14-13-42-234000: 2.36431844504 -1.0
2015-04-14-13-42-250000: 2.34739916411 -1.0
2015-04-14-13-42-265000: 2.33742887356 -1.0
2015-04-14-13-42-281000: 2.26622689964 -1.0
2015-04-14-13-42-296000: 2.26234956443 -1.0
2015-04-14-13-42-312000: 2.24694093358 -1.0
2015-04-14-13-42-328000: 2.23520821794 -1.0
